"gene","padj","logpadj","lfc","sextissue","direction"
"C1ORF146",0.052755458311709,1.27773259968867,4.52679997346441,"female_pituitary","extend"
"PABPC1L",0.0152073509449183,1.81794643158815,3.19290327245625,"female_pituitary","extend"
"FGF6",1.36854362271799e-05,4.86374135477284,2.97970985225738,"female_pituitary","extend"
"MFRP",0.0203690400379136,1.69102943816041,2.81704361937526,"female_pituitary","extend"
"SLC18A3",0.000302995885569932,3.51856326881257,2.77257388838352,"female_pituitary","extend"
"MLN",5.86468984683582e-06,5.23175495053386,2.54904747837645,"female_pituitary","extend"
"PDE11A",0.00151967459417559,2.8182493969785,2.50867292058057,"female_pituitary","extend"
"FAM132A",1.30484663851591e-05,4.88444052890822,2.40607077215102,"female_pituitary","extend"
"HAND2",0.0220977668551693,1.65565161280722,2.34693410371137,"female_pituitary","extend"
"APCDD1L",0.00107355878950501,2.96917416803395,2.24596911835704,"female_pituitary","extend"
"FAM71BL",0.0727545217778894,1.1381400095976,2.24546771902042,"female_pituitary","extend"
"LOC420160",0.00323467081865438,2.49016990940519,2.1710248704208,"female_pituitary","extend"
"LOC101749834",0.00627810879700649,2.20217116242856,2.15092745058683,"female_pituitary","extend"
"LHX5",0.0473174620508438,1.32497855751141,2.08181496840067,"female_pituitary","extend"
"USP35",1.13715739206229e-08,7.94417942117549,2.06148042296799,"female_pituitary","extend"
"DTX1",8.61848506499196e-06,5.0645690666272,1.98309724003001,"female_pituitary","extend"
"OVST",0.0131014313726883,1.88268125371058,1.97610232198858,"female_pituitary","extend"
"ANGPTL4",0.000204632150646186,3.68902613137025,1.94502356756755,"female_pituitary","extend"
"LIPG",0.000428943426365724,3.36759998342686,1.92085215032634,"female_pituitary","extend"
"LOC107054798",0.00112473116424614,2.94895127118525,1.90418356886084,"female_pituitary","extend"
"NR4A3",4.76433068560724e-05,4.32199810236342,1.86670277852281,"female_pituitary","extend"
"IL12RB2",7.91074232570523e-05,4.10178276140359,1.85481792571161,"female_pituitary","extend"
"TMPRSS15",0.044651683848569,1.35016215889519,1.84923458638995,"female_pituitary","extend"
"KCNQ3",0.000750290383130308,3.12477062009683,1.78156548490239,"female_pituitary","extend"
"GRID2IP",1.34807792996128e-05,4.87028500129188,1.70288217111734,"female_pituitary","extend"
"PAPLN",0.00138565076863264,2.85834621299049,1.70027707394185,"female_pituitary","extend"
"TFPI2",1.28084323124606e-09,8.89250402245762,1.69452314457711,"female_pituitary","extend"
"MYC",2.18040507323663e-05,4.66146281615264,1.67958834718212,"female_pituitary","extend"
"DLK1",0.0143188513514445,1.84409181944,1.6664421288792,"female_pituitary","extend"
"MYBPC3",0.00395039877680893,2.40335906188592,1.61468823236737,"female_pituitary","extend"
"SLC7A5",3.01149708870082e-06,5.52121755233792,1.58699469296447,"female_pituitary","extend"
"LOC100859314",0.0435126246514067,1.36138471957458,1.57372208233167,"female_pituitary","extend"
"ADAMTS1",9.55518682990735e-05,4.01976081688688,1.56228013656704,"female_pituitary","extend"
"PDK4",0.00191946075839491,2.716820762206,1.54277653774566,"female_pituitary","extend"
"FRMPD4",9.39841050759124e-05,4.02694558960802,1.54006607191535,"female_pituitary","extend"
"PAX7",0.0127919895245109,1.8930619049098,1.53025389912352,"female_pituitary","extend"
"MLXIPL",0.0549757145270948,1.25982911734402,1.49869979571394,"female_pituitary","extend"
"LOC422224",0.000238902138126551,3.62177996338362,1.49857025541713,"female_pituitary","extend"
"CEBPD",2.26721096307517e-08,7.64450806706506,1.49425298472979,"female_pituitary","extend"
"ZBTB16",8.0207456226497e-09,8.09578525705867,1.49126135651991,"female_pituitary","extend"
"CHODL",0.0145679301810139,1.83660214862946,1.48643617836232,"female_pituitary","extend"
"SIK1",1.34807792996128e-05,4.87028500129188,1.42380060036985,"female_pituitary","extend"
"TMEM100",0.000453269765926442,3.34364324835631,1.41507086950073,"female_pituitary","extend"
"NIPAL4",0.0714029751892033,1.1462836918466,1.40632467682452,"female_pituitary","extend"
"OVSTL",1.30484663851591e-05,4.88444052890822,1.40462105795055,"female_pituitary","extend"
"LOC421740",0.0112730855963716,1.94795719539445,1.40405379392212,"female_pituitary","extend"
"BANK1",0.0320275527703071,1.49447624456926,1.38283556389331,"female_pituitary","extend"
"MFSD4",7.65524282531135e-05,4.11604102886903,1.35840600075132,"female_pituitary","extend"
"NPM3",0.000777273443715563,3.10942617012394,1.34004085521751,"female_pituitary","extend"
"CD44",0.0176107419665313,1.75422234618024,1.32744580357062,"female_pituitary","extend"
"C1ORF95",0.00767335074595577,2.1150149499093,1.31676417499281,"female_pituitary","extend"
"FKBP5",6.89248605593856e-12,11.1616241038345,1.31472574929429,"female_pituitary","extend"
"PLA2G4E",0.00422854803721971,2.3738087313655,1.30780135006267,"female_pituitary","extend"
"ADAMTSL2",0.0634769632021174,1.19738385847848,1.30728537155452,"female_pituitary","extend"
"FAM83G",0.014288368792843,1.84501734886499,1.29965602888854,"female_pituitary","extend"
"FOSL2",0.0197380610901794,1.70469551119998,1.28116898823427,"female_pituitary","extend"
"CRISPLD2",0.0913455311699381,1.03931269446043,1.26261375777108,"female_pituitary","extend"
